NameMovie,EnNameMovie,Year,Rating_runtime,IMDbRating,CustomerRating,Populary,Genre,Decribe,Director,Writter_Star,User_reviews,CriticReviews_Metascore
Lệnh Truy Nã Đỏ,Red Notice,2021,C13C131h 58m,6.3/10,264K,278,ActionComedyThriller,"An Interpol agent successfully tracks down the world's most wanted art thief, with help from a rival thief. But nothing is as it seems, as a series of double-crosses ensue.",Rawson Marshall Thurber,WriterRawson Marshall ThurberStarsDwayne JohnsonRyan ReynoldsGal Gadot,1.8K,196 37
Venom: Đối Mặt Tử Thù,Venom: Let There Be Carnage,2021,C13C131h 37m,5.9/10,211K,308,ActionAdventureSci-Fi,"Eddie Brock attempts to reignite his career by interviewing serial killer Cletus Kasady, who becomes the host of the symbiote Carnage and escapes prison after a failed execution.",Andy Serkis,WritersKelly Marcel(screenplay by)Tom Hardy(story by)StarsTom HardyWoody HarrelsonMichelle Williams,1.5K,262 49
Quá Nhanh Quá Nguy Hiểm 9: Huyền Thoại Tốc Độ,F9,2021,C16C162h 23m,5.2/10,127K,313,ActionCrimeThriller,Dom and the crew must take on an international terrorist who turns out to be Dom and Mia's estranged brother.,Justin Lin,WritersDaniel Casey(screenplay by)Justin Lin(screenplay by)Alfredo Botello(story by)StarsVin DieselMichelle RodriguezJordana Brewster,2.3K,279 58
Liên Minh Công Lý - Phiên bản của Zack Snyder,Zack Snyder's Justice League,2021,C16C164h 2m,8.0/10,384K,190,ActionAdventureFantasy,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",Zack Snyder,WritersJerry Siegel(Superman created by)Joe Shuster(Superman created by)Zack Snyder(story by)StarsHenry CavillBen AffleckGal Gadot,8K,305 54
Cuộc Chiến Tương Lai,The Tomorrow War,2021,PG-13PG-132h 18m,6.5/10,199K,371,ActionAdventureDrama,A family man is drafted to fight in a future war where the fate of humanity relies on his ability to confront the past.,Chris McKay,WriterZach DeanStarsChris PrattYvonne StrahovskiJ.K. Simmons,4K,221 45
Đấu Trường Âm Nhạc 2,Sing 2,2021,PP1h 50m,7.4/10,58K,15,AnimationAdventureComedy,Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.,Garth Jennings,DirectorsGarth JenningsChristophe LourdeletWriterGarth JenningsStarsMatthew McConaughey(voice)Reese Witherspoon(voice)Scarlett Johansson(voice),400,119 49
Biệt Đội Săn Ma: Chuyển Kiếp,Ghostbusters: Afterlife,2021,C13C132h 4m,7.1/10,164K,75,AdventureComedyFantasy,"When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.",Jason Reitman,"WritersGil KenanJason ReitmanDan Aykroyd(based on ""Ghostbusters"" written by)StarsCarrie CoonPaul RuddFinn Wolfhard",1.8K,301 45
Cruella,,2021,PG-13PG-132h 14m,7.3/10,225K,494,AdventureComedyCrime,A live-action prequel feature film following a young Cruella de Vil.,Craig Gillespie,WritersDana Fox(screenplay by)Tony McNamara(screenplay by)Aline Brosh McKenna(story by)StarsEmma StoneEmma ThompsonJoel Fry,1.9K,337 59
Marcel the Shell with Shoes On,,2021,PGPG1h 30m,8.2/10,1.2K,117,AnimationComedyFamily,Feature adaptation of the animated short film interviewing a mollusk named Marcel.,Dean Fleischer-Camp,WritersDean Fleischer-Camp(screenplay by)Elisabeth Holm(story by)Nick Paley(screenplay by)StarsJenny Slate(voice)Dean Fleischer-CampIsabella Rossellini(voice),19,44 81
Encanto: Vùng Đất Thần Kỳ,Encanto,2021,PP1h 42m,7.2/10,207K,136,AnimationComedyFamily,A Colombian teenage girl has to face the frustration of being the only member of her family without magical powers.,Jared Bush,DirectorsJared BushByron HowardCharise Castro Smith(co-directed by)WritersCharise Castro Smith(screenplay by)Jared Bush(screenplay by)Byron Howard(story by)StarsStephanie Beatriz(voice)María Cecilia Botero(voice)John Leguizamo(voice),1.1K,224 75
Mad God,,2021,1h 23m,6.8/10,5.3K,138,AnimationFantasyHorror,A corroded diving bell descends amidst a ruined city and the Assassin emerges from it to explore a labyrinth of bizarre landscapes inhabited by freakish denizens.,Phil Tippett,WriterPhil TippettStarsAlex CoxNiketa RomanSatish Ratakonda,106,105 80
Mùa Hè Của Luca,Luca,2021,PGPG1h 35m,7.4/10,155K,677,AnimationAdventureComedy,"On the Italian Riviera, an unlikely but strong friendship grows between a human being and a sea monster disguised as a human.",Enrico Casarosa,WritersEnrico Casarosa(story by)Jesse Andrews(story by)Simon Stephenson(story by)StarsJacob Tremblay(voice)Jack Dylan Grazer(voice)Emma Berman(voice),800,269 71
Shika no ou,,2021,RR1h 53m,6.6/10,220,735,AnimationActionAdventure,"The last survivor of a band of warriors is enslaved in a salt mine. One night, savage dogs attack and a mysterious disease wipes out everyone at the mine. The warrior escapes with a little girl, while a gifted physician looks for a cure.",Masashi Ando,DirectorsMasashi AndoMasayuki MiyajiWritersTaku KishimotoNahoko Uehashi(story)StarsAnne(voice)Luis Bermudez(English version)Ray Chase(English version),2,21 62
Raya và Rồng Thần Cuối Cùng,Raya and the Last Dragon,2021,PP1h 47m,7.3/10,146K,891,AnimationActionAdventure,"In a realm known as Kumandra, a re-imagined Earth inhabited by an ancient civilization, a warrior named Raya is determined to find the last dragon.",Don Hall,DirectorsDon HallCarlos López EstradaPaul Briggs(co-directed by)WritersQui Nguyen(screenplay by)Adele Lim(screenplay by)Paul Briggs(story by)StarsKelly Marie Tran(voice)Awkwafina(voice)Gemma Chan(voice),1.3K,265 75
Nhà Mitchell Đối Đầu Với Máy Móc,The Mitchells vs the Machines,2021,C13C131h 54m,7.6/10,104K,"1,115",AnimationAdventureComedy,"A quirky, dysfunctional family's road trip is upended when they find themselves in the middle of the robot apocalypse and suddenly become humanity's unlikeliest last hope.",Michael Rianda,DirectorsMichael RiandaJeff RoweWritersMichael RiandaJeff RowePeter Szilagyi(story coordinator)StarsAbbi Jacobson(voice)Danny McBride(voice)Maya Rudolph(voice),829,227 81
Quái Thú So Chiêu,Rumble,2021,PGPG1h 35m,5.9/10,5.8K,"1,290",AnimationComedyFamily,"In a world where monster wrestling is a global sport and monsters are superstar athletes, teenage Winnie seeks to follow in her father's footsteps by coaching a loveable underdog monster into a champion.",Hamish Grieve,"WritersMatt Lieberman(screenplay by)Rob Harrell(based on the graphic novel ""Monster on the Hill"" by)StarsGeraldine Viswanathan(voice)Will Arnett(voice)Stephen A. Smith(voice)",64,14 48
Clifford: Chú Chó Đỏ Khổng Lồ,Clifford the Big Red Dog,2021,PP1h 36m,5.9/10,13K,"1,460",AnimationAdventureComedy,A young girl's love for a tiny puppy named Clifford makes the dog grow to an enormous size.,Walt Becker,WritersJay Scherick(screenplay by)David Ronn(screenplay by)Blaise Hemingway(screenplay by)StarsDarby CampJack WhitehallIzaac Wang,185,75 55
Belle: Rồng và Công Chúa Tàn Nhang,Ryû to sobakasu no hime,2021,PP2h 1m,7.2/10,9.1K,"1,629",AnimationAdventureDrama,"Suzu is a shy high school student living in a rural village. For years, she has only been a shadow of herself. But when she enters ""U"", a massive virtual world, she escapes into her online persona as Belle, a globally-beloved singer.",Mamoru Hosoda,WriterMamoru Hosoda(original story)StarsKaho Nakamura(voice)Ryô Narita(voice)Shôta Sometani(voice),145,133 83
